Example Number,Gorgias Code,NL Translation
1,"rule(r1, attend_concert, []) :- rainy_day.
rule(r2, visit_doctor, []) :- rainy_day.
rule(p1, prefer(r1, r2), []).","""When it is a rainy day, I can either attend a concert or visit the doctor. Generally, I prefer to attend a concert over visiting the doctor."""
2,"rule(r1, morning_run, []) :- invitation_from_friend.
rule(r2, reply_emails, []) :- invitation_from_friend.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- friend_in_town.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- holiday_season.
rule(c3, prefer(c2, c1), []).","When I receive an invitation from a friend, I can either go for a morning run or reply to emails. I generally prefer to go for a morning run, but if my friend is in town, I prefer to reply to emails. However, during the holiday season, I prefer to go for a morning run rather than reply to emails."
3,"rule(r1, morning_run, []) :- important_meeting.
rule(r2, finish_report, []) :- important_meeting.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- morning_rush.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- birthday_today.
rule(c3, prefer(c2, c1), []).","When there is an important meeting, I can either go for a morning run or finish a report. I generally prefer to go for a morning run, but if there is a morning rush, I prefer to finish the report. If it's my birthday today, I prefer finishing the report over going for a morning run."
4,"rule(r1, ride_bike, []) :- new_restaurant_to_try.
rule(r2, go_to(restaurant), []) :- new_restaurant_to_try.
rule(p1, prefer(r1, r2), []).","""When there is a new restaurant to try, I can either ride my bike or go to the restaurant. Generally, I prefer to ride my bike over going to the restaurant."""
5,"rule(r1, visit_doctor, []) :- discount_on_flight.
rule(r2, yoga_session, []) :- discount_on_flight.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- morning_rush.
rule(c1, prefer(p2, p1), []).","""When there is a discount on the flight, I can either visit the doctor or attend a yoga session. Generally, I prefer to visit the doctor, but if there is a morning rush, I prefer to attend a yoga session."""
6,"rule(r1, give_presentation, []) :- hot_day.
rule(r2, read_book, []) :- hot_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- medical_appointmentgood_weather.
rule(c1, prefer(p2, p1), []).","When it is a hot day, I can either give a presentation or read a book. Generally, I prefer to give a presentation, but if there is a medical appointment or the weather is good, I prefer to read a book."
7,"rule(r1, go_to(theater), []) :- friend_in_town.
rule(r2, go_to(cinema), []) :- friend_in_town.
rule(p1, prefer(r1, r2), []).","When my friend is in town, I prefer to go to the theater over going to the cinema."
8,"rule(r1, go_to(park), []) :- urgent_deadline.
rule(r2, finish_report, []) :- urgent_deadline.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).","When there is an urgent deadline, I can either go to the park or finish the report. Generally, I prefer to go to the park, but if it's our wedding anniversary, I prefer to finish the report."
9,"rule(r1, visit_doctor, []) :- birthday_today.
rule(r2, travel_abroad, []) :- birthday_today.
rule(p1, prefer(r1, r2), []).","When it is my birthday today, I can either visit the doctor or travel abroad. Generally, I prefer to visit the doctor over traveling abroad on my birthday."
10,"rule(r1, visit_family, []) :- low_budget.
rule(r2, reply_emails, []) :- low_budget.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- snowstorm.
rule(c1, prefer(p2, p1), []).","""When on a low budget, I can either visit family or reply to emails. Generally, I prefer to visit family, but if there is a snowstorm, I prefer to reply to emails."""
