Index,Original Prompt,Generated Gorgias Code,Query Result
1,"If it's a humid day, I can either go to the park or have a cycling session. Usually, I choose to go to the park. I can’t go to the park and have a cycling session at the same time.",":- dynamic humid_day/0, go_to_park/0, cycling_session/0.
rule(r1, go_to_park, []) :- humid_day.
rule(r2, have_a_cycling_session, []) :- humid_day.
rule(p1, prefer(r1, r2), []).
complement(go_to_park, have_a_cycling_session).",Success
2,"If it’s a windy day, I can either go to the gym or go for a morning run. Generally, I choose to go to the gym. However, if the weather is good, I go for a morning run instead. If I receive financial aid, I go back to choosing the gym. I can’t go to the gym and go for a morning run at the same time.",":- dynamic windy_day/0, morning_run/0, financial_aid/0.
rule(r1, go_to_gym, []) :- windy_day.
rule(r2, go_for_morning_run, []) :- windy_day.
rule(p1, prefer(r1,r2), []).
rule(p2, prefer(r2,r1), []) :- weather_good.
rule(c1, prefer(p2,p1), []).
rule(c2, prefer(p1,p2), []) :- financial_aid.
rule(c3, prefer(c2,c1), []).
complement(go_to_gym, go_for_morning_run).
complement(go_for_morning_run, go_to_gym).",Fail
3,"If it's the afternoon, I can either book a flight or pay the bills. Usually, I choose to book a flight. However, if a friend invites me, I pay the bills instead. I can’t book a flight and pay the bills at the same time.",":- dynamic afternoon/0, friend_invitation/0, flight_booking/0, bill_payment/0.
rule(r1, book_flight, []) :- afternoon.
rule(r2, pay_bills, []) :- afternoon.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- friend_invitation.
rule(c1, prefer(p2, p1), []).
complement(book_flight, pay_bills).",Success
4,"I can either have a swim session or attend a meeting. Usually, I choose to have a swim session. I can’t have a swim session and attend the meeting at the same time.",":- dynamic swim_session/0, meeting/0.
rule(r1, have_swim_session, []) :- swim_session.
rule(r2, attend_meeting, []) :- meeting.
rule(p1, prefer(r1, r2), []).
complement(have_swim_session, attend_meeting).",Success
5,"If it’s my wedding anniversary, I can either go to the theater or attend a workshop. Usually, I choose to go to the theater. However, if the event is expensive, I attend the workshop instead. I can’t go to the theater and attend the workshop at the same time.",":- dynamic wedding_anniversary/0, theater/0, workshop/0.
rule(r1, go_to_theater, []) :- wedding_anniversary.
rule(r2, attend_workshop, []) :- wedding_anniversary.
rule(p1, prefer(r1,r2), []).
rule(p2, prefer(r2,r1), []) :- expensive_event.
rule(c1, prefer(p2,p1), []).
complement(go_to_theater, attend_workshop).",Success
6,"I can either reply to emails or ride my bike. Usually, I choose to reply to emails. I can’t reply to emails and ride my bike at the same time.",":- dynamic reply_to_emails/0, ride_my_bike/0.
rule(r1, reply_to_emails, []) :- reply_to_emails.
rule(r2, ride_my_bike, []) :- ride_my_bike.
rule(p1, prefer(r1, r2), []).
complement(reply_to_emails, ride_my_bike).",Success
7,"If there's a school reunion, I go to the park. If I'm moving house, I ride my bike. But if it's both a school reunion and I'm moving house, I usually go to the park. If I also went through a relationship break, I ride my bike instead. However, if there’s a hail storm, I tend to go to the park. I can’t ride my bike and go to the park at the same time.",":- dynamic school_reunion/0, moving_house/0, relationship_break/0, hail_storm/0.
rule(r1, go_to_park, []) :- school_reunion.
rule(r2, ride_bike, []) :- moving_house.
rule(r3, go_to_park, []) :- school_reunion and moving_house.
rule(r4, ride_bike, []) :- school_reunion and relationship_break.
rule(r5, go_to_park, []) :- hail_storm.
rule(c1, prefer(r1, r2), []).
rule(c2, prefer(r2, r1), []) :- school_reunion and moving_house.
rule(c3, prefer(r4, c2), []).
complement(go_to_park, ride_bike).
complement(ride_bike, go_to_park).",Fail
8,"If there is a snowstorm, I dispose of the trash. If my boss is in the office, I buy groceries. But if it’s both a snowstorm and my boss is in the office, I usually dispose of the trash. However, if I also have an important meeting, I choose to buy groceries instead. If I have a new restaurant to try, I tend to dispose of the trash. But if it’s the holiday season, I usually buy groceries. I can’t dispose of the trash and buy groceries at the same time.",":- dynamic snowstorm/0, boss_in_office/0, new_restaurant/0, holiday_season/0.
rule(r1, dispose_of_trash, []) :- snowstorm.
rule(r2, buy_groceries, []) :- boss_in_office.
rule(r3, choose_to_dispose_of_trash, []) :- snowstorm and boss_in_office.
rule(r4, choose_to_buy_groceries, []) :- new_restaurant.
rule(r5, choose_to_dispose_of_trash, []) :- holiday_season.
rule(c1, prefer(r1, r2), []).
rule(c2, prefer(r2, r1), []) :- new_restaurant.
rule(c3, prefer(r1, r2), []) :- holiday_season.
complement(dispose_of_trash, buy_groceries).
complement(buy_groceries, dispose_of_trash).",Success
9,"If I have a project extension, I go to the gym. If I have an important meeting, I make coffee. But if I have both a project extension and an important meeting, I usually go to the gym. However, if I also have a low budget, I make coffee instead. If there is a snowstorm, I tend to go to the gym. But if I miss a deadline, I choose to make coffee. If I have missed a deadline and there is a snowstorm, I usually make coffee. I can’t go to the gym and make coffee at the same time.",":- dynamic project_extension/0, important_meeting/0, low_budget/0, snowstorm/0, missed_deadline/0.
rule(r1, go_to_gym, []) :- project_extension.
rule(r2, make_coffee, []) :- important_meeting.
rule(r3, go_to_gym, []) :- project_extension and important_meeting.
rule(r4, make_coffee, []) :- project_extension and low_budget.
rule(r5, go_to_gym, []) :- snowstorm.
rule(r6, make_coffee, []) :- missed_deadline and snowstorm.
complement(go_to_gym, make_coffee).",Success
10,"If there is a community event, I can either take the train or rent a car. Usually, I choose to take the train. However, if a friend is in town, I rent a car instead. If my subscription is due, I tend to take the train again. I can’t take the train and rent a car at the same time.",":- dynamic community_event/0, train/0, car/0, subscription/0.
rule(r1, take_train, []) :- community_event.
rule(r2, rent_car, []) :- community_event.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- friend_in_town.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- subscription_due.
rule(c3, prefer(c2, c1), []).
complement(take_train, rent_car).
complement(rent_car, take_train).",Fail
