Example Number,Gorgias Code,NL Translation
308,":- dynamic tax_refund/0, deadline_missed/0
rule(r1, go_to_restaurant, []) :- tax_refund.
rule(r2, review_documents, []) :- tax_refund.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- deadline_missed.
rule(c1, prefer(p2, p1), []).
complement(review_documents, go_to_restaurant).
complement(go_to_restaurant, review_documents).","If I get a tax refund, I can either go to a restaurant or review documents. Usually, I choose to go to a restaurant. However, if I miss a deadline, I review the documents instead. I can’t go to a restaurant and review documents at the same time."
893,":- dynamic .
rule(r1, attend_workshop, []).
rule(r2, schedule_meeting, []).
rule(p1, prefer(r1, r2), []).
complement(schedule_meeting, attend_workshop).
complement(attend_workshop, schedule_meeting).","I can either attend the workshop or schedule a meeting. Usually, I choose to attend the workshop. I can’t attend the workshop and schedule a meeting at the same time."
941,":- dynamic discount_on_flight/0, family_emergency/0
rule(r1, submit_timesheet, []) :- discount_on_flight.
rule(r2, reply_emails, []) :- discount_on_flight.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- family_emergency.
rule(c1, prefer(p2, p1), []).
complement(reply_emails, submit_timesheet).
complement(submit_timesheet, reply_emails).","If there is a discount on a flight, I can either submit my timesheet or reply to emails. Generally, I choose to submit my timesheet. However, if there’s a family emergency, I reply to emails instead. I can’t submit my timesheet and reply to emails at the same time."
640,":- dynamic project_extension/0, deadline_missed/0, invitation_from_friend/0.
rule(r1, make_coffee, []) :- project_extension.
rule(r2, submit_timesheet, []) :- deadline_missed.
rule(p1, prefer(r1, r2), []) :- project_extension, deadline_missed.
rule(p2, prefer(r2, r1), []) :- project_extension, deadline_missed, invitation_from_friend.
rule(c1, prefer(p2, p1), []).
complement(submit_timesheet, make_coffee).
complement(make_coffee, submit_timesheet).","If I have a project extension, I make coffee. If I miss a deadline, I submit my timesheet. But if I have both a project extension and I miss a deadline, I usually make coffee. However, if I also receive an invitation from a friend, I submit my timesheet instead. I can’t make coffee and submit my timesheet at the same time."
317,":- dynamic , family_gathering/0, hail_storm/0
rule(r1, drive_car, []).
rule(r2, prepare_report, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- family_gathering.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- hail_storm.
rule(c3, prefer(c2, c1), []).
complement(prepare_report, drive_car).
complement(drive_car, prepare_report).","I can either drive the car or prepare a report. Usually, I choose to drive the car. However, if there’s a family gathering, I go back to preparing the report instead. If there’s a hail storm, I tend to drive the car. I can’t prepare the report and drive the car at the same time."
370,":- dynamic hot_day/0, vacation_planned/0, early_morning/0, weekend/0, feeling_sick/0.
rule(r1, rent_car, []) :- hot_day.
rule(r2, morning_run, []) :- vacation_planned.
rule(p1, prefer(r1, r2), []) :- hot_day, vacation_planned.
rule(p2, prefer(r2, r1), []) :- hot_day, vacation_planned, early_morning.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- weekend.
rule(c3, prefer(c2, c1), []).
rule(c4, prefer(c1, c2), []) :- feeling_sick.
rule(c5, prefer(c4, c3), []).
complement(morning_run, rent_car).
complement(rent_car, morning_run).","If it's a hot day, I rent a car. If I have a vacation planned, I go for a morning run. But if it’s both a hot day and I have a vacation planned, I usually rent a car. If it’s also early morning, I prefer to go for a morning run instead. However, if it's the weekend, I usually choose to rent a car. If I’m feeling sick, I go back to preferring the morning run. I can’t go for a morning run and rent a car at the same time."
559,":- dynamic new_neighbor/0, hail_storm/0, community_event/0, urgent_deadline/0.
rule(r1, travel_abroad, []) :- new_neighbor.
rule(r2, call_client, []) :- hail_storm.
rule(p1, prefer(r1, r2), []) :- new_neighbor, hail_storm.
rule(p2, prefer(r2, r1), []) :- new_neighbor, hail_storm, community_event.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- urgent_deadline.
rule(c3, prefer(c2, c1), []).
complement(call_client, travel_abroad).
complement(travel_abroad, call_client).","If I have a new neighbor, I travel abroad. If there is a hail storm, I call a client. But if it’s both a new neighbor and a hail storm, I usually prefer to travel abroad. However, if there is also a community event, I choose to call the client instead. If I have an urgent deadline, I tend to travel abroad. I can’t travel abroad and call a client at the same time."
771,":- dynamic afternoon/0, financial_aid/0, subscription_due/0, dusk/0, humid_day/0.
rule(r1, update_project_plan, []) :- afternoon.
rule(r2, take_bus, []) :- financial_aid.
rule(p1, prefer(r1, r2), []) :- afternoon, financial_aid.
rule(p2, prefer(r2, r1), []) :- afternoon, financial_aid, subscription_due.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- dusk.
rule(c3, prefer(c2, c1), []).
rule(c4, prefer(c1, c2), []) :- humid_day.
rule(c5, prefer(c4, c3), []).
complement(take_bus, update_project_plan).
complement(update_project_plan, take_bus).","If it's afternoon, I update my project plan. If I have financial aid, I take the bus. But if it's both afternoon and I have financial aid, I usually update my project plan. However, if my subscription is also due, I take the bus instead. If it's dusk, I tend to prefer to update my project plan. But if it's a humid day, I prefer to take the bus. I can’t update my project plan and take the bus at the same time."
126,":- dynamic new_restaurant_to_try/0, new_neighbor/0, humid_day/0
rule(r1, book_ride_share, []) :- new_restaurant_to_try.
rule(r2, visit_family, []) :- new_restaurant_to_try.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- new_neighbor.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- humid_day.
rule(c3, prefer(c2, c1), []).
complement(visit_family, book_ride_share).
complement(book_ride_share, visit_family).","If there's a new restaurant I want to try, I can either book a ride share or visit family. Generally, I choose to book a ride share. However, if I have a new neighbor, I visit family instead. On a humid day, I go back to booking a ride share. I can’t visit family and book a ride share at the same time."
704,":- dynamic unexpected_guest/0, expensive_event/0, unexpected_expense/0
rule(r1, update_project_plan, []) :- unexpected_guest.
rule(r2, prepare_report, []) :- unexpected_guest.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- expensive_event.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- unexpected_expense.
rule(c3, prefer(c2, c1), []).
complement(prepare_report, update_project_plan).
complement(update_project_plan, prepare_report).","If I have an unexpected guest, I can either update the project plan or prepare a report. Usually, I choose to update the project plan. However, if the event is expensive, I prepare the report instead. If there is an unexpected expense, I go back to updating the project plan. I can’t prepare a report and update the project plan at the same time."
