Index,Original Prompt,Generated Gorgias Code,Query Result
1,"I can either visit the museum or attend a workshop. Usually, I prefer to visit the museum. However, during the morning rush, I choose to attend the workshop instead. If there's a community event, I tend to visit the museum instead. I can't visit the museum and attend the workshop at the same time.",":- dynamic morning_rush/0, community_event/0.
rule(r1, visit_museum, []).
rule(r2, attend_workshop, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- morning_rush.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- community_event.
rule(c3, prefer(c2, c1), []).
complement(attend_workshop, visit_museum).
complement(visit_museum, attend_workshop).",Fail
2,"If I got a bonus, I attend a workshop. If there is a concert nearby, I go to the gym. But if I have both a bonus and a concert nearby, I usually choose to attend the workshop. However, if I also have a low budget, I go to the gym instead. I can't go to the gym and attend the workshop at the same time.",":- dynamic bonus/0, concert_nearby/0, low_budget/0.
rule(r1, attend_workshop, []) :- bonus.
rule(r2, go_to_gym, []) :- concert_nearby.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- low_budget.
rule(c1, prefer(p2, p1), []) :- bonus, concert_nearby.
rule(c2, prefer(p1, p2), []) :- bonus, concert_nearby.
rule(c3, prefer(c2, c1), []).
complement(attend_workshop, go_to_gym).
complement(go_to_gym, attend_workshop).",Fail
3,"If I have a medical appointment, I schedule a meeting. If I have an unexpected guest, I go for a swim. But if I have both a medical appointment and an unexpected guest, I usually schedule a meeting. However, if there is also a networking event, I prefer to go for a swim instead. If there is a concert nearby, I tend to schedule a meeting. I can't go for a swim and schedule a meeting at the same time.",":- dynamic medical_appointment/0, unexpected_guest/0, networking_event/0, concert_nearby/0.
rule(r1, schedule_meeting, []) :- medical_appointment.
rule(r2, go_for_swim, []) :- unexpected_guest.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- medical_appointment, unexpected_guest.
rule(p3, prefer(r2, r1), []) :- networking_event.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- concert_nearby.
rule(c3, prefer(c2, c1), []).
complement(go_for_swim, schedule_meeting).
complement(schedule_meeting, go_for_swim).",Success
4,"I can either go for a morning run or visit the doctor. Usually, I choose to go for a morning run. However, if I have feedback from a client, I go to visit the doctor instead. I can't go for a morning run and visit the doctor at the same time.",":- dynamic feedback_from_client/0.
rule(r1, morning_run, []).
rule(r2, visit_doctor, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- feedback_from_client.
complement(morning_run, visit_doctor).
complement(visit_doctor, morning_run).",Success
5,"If my boss is in the office, I can either attend a workshop or schedule a meeting. Generally, I choose to attend the workshop. I can't attend the workshop and schedule a meeting at the same time.",":- dynamic boss_in_office/0.
rule(r1, attend_workshop, []) :- boss_in_office.
rule(r2, schedule_meeting, []) :- boss_in_office.
rule(p1, prefer(r1, r2), []).
rule(c1, prefer(p1, p2), []).
complement(attend_workshop, schedule_meeting).
complement(schedule_meeting, attend_workshop).",Fail
6,"If I miss a deadline, I can either meditate or go shopping. Generally, I choose to meditate. However, if I'm feeling sick, I go shopping instead. I can't meditate and go shopping at the same time.",":- dynamic miss_deadline/0, feeling_sick/0.
rule(r1, meditate, []) :- miss_deadline.
rule(r2, go_shopping, []) :- miss_deadline.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- feeling_sick.
rule(c1, prefer(p2, p1), []).
complement(meditate, go_shopping).
complement(go_shopping, meditate).",Success
7,"If it's a hot day, I can either pay the bills or attend a meeting. Generally, I choose to pay the bills. However, if I miss a deadline, I attend the meeting instead. If it's the holiday season, I go back to paying the bills. I can't attend the meeting and pay the bills at the same time.",":- dynamic hot_day/0, missed_deadline/0, holiday_season/0.
rule(r1, pay_bills, []) :- hot_day.
rule(r2, attend_meeting, []) :- hot_day.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- missed_deadline.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- holiday_season.
rule(c3, prefer(c2, c1), []).
complement(pay_bills, attend_meeting).
complement(attend_meeting, pay_bills).",Success
8,"If there is a family emergency, I go to the park. If I got a bonus, I attend a meeting. But if I have both a family emergency and got a bonus, I usually go to the park. If I also have a medical appointment, I attend the meeting instead. However, if there is a school reunion, I tend to go to the park. If it's a hot day, I prefer to attend the meeting. I can't go to the park and attend a meeting at the same time.",":- dynamic family_emergency/0, got_bonus/0, medical_appointment/0, school_reunion/0, hot_day/0.
rule(r1, go_to_park, []) :- family_emergency.
rule(r2, attend_meeting, []) :- got_bonus.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- family_emergency, got_bonus.
rule(p3, prefer(r1, r2), []) :- school_reunion.
rule(p4, prefer(r2, r1), []) :- medical_appointment.
rule(p5, prefer(p4, p3), []).
rule(p6, prefer(p1, p5), []) :- hot_day.
complement(go_to_park, attend_meeting).
complement(attend_meeting, go_to_park).",Success
9,"If my friend is in town, I make coffee. If I have a party invitation, I water the plants. But if both my friend is in town and I have a party invitation, I usually make coffee. However, if it's early morning, I prefer to water the plants instead. If I am moving house, I tend to water the plants. But if it's my wedding anniversary, I usually make coffee. I can't make coffee and water the plants at the same time.",":- dynamic friend_in_town/0, party_invitation/0, early_morning/0, moving_house/0, wedding_anniversary/0.
rule(r1, make_coffee, []) :- friend_in_town.
rule(r2, water_plants, []) :- party_invitation.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- early_morning.
rule(p3, prefer(r1, r2), []) :- friend_in_town, party_invitation.
rule(p4, prefer(r2, r1), []) :- moving_house.
rule(p5, prefer(r1, r2), []) :- wedding_anniversary.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p3), []).
rule(c3, prefer(p4, p2), []).
rule(c4, prefer(p5, p1), []).
complement(make_coffee, water_plants).
complement(water_plants, make_coffee).",Success
10,"I can either update the project plan or go for a cycling session. Usually, I choose to update the project plan. I can't update the project plan and go for a cycling session at the same time.",":- dynamic update_project_plan/0, go_cycling/0.
rule(r1, update_project_plan, []).
rule(r2, go_cycling, []).
rule(p1, prefer(r1, r2), []).
rule(c1, prefer(p1, p2), []).
complement(update_project_plan, go_cycling).
complement(go_cycling, update_project_plan).",Fail
11,"I can either pay my bills or book a ride share. Usually, I choose to pay my bills. I can't pay my bills and book a ride share at the same time.",":- dynamic pay_bills/0, book_ride_share/0.
rule(r1, pay_bills, []).
rule(r2, book_ride_share, []).
rule(p1, prefer(r1, r2), []).
rule(c1, prefer(p1, p2), []).
complement(pay_bills, book_ride_share).
complement(book_ride_share, pay_bills).",Fail
12,"I can either give a presentation or ride my bike. Usually, I choose to give the presentation. I can't give the presentation and ride my bike at the same time.",":- dynamic give_presentation/0, ride_bike/0.
rule(r1, give_presentation, []).
rule(r2, ride_bike, []).
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []).
complement(give_presentation, ride_bike).
complement(ride_bike, give_presentation).",Success
13,"If I have extended work hours, I go shopping. If I have a new neighbor, I go to the bar. But if I have both extended work hours and a new neighbor, I usually go shopping. However, if there is also a snowstorm, I go to the bar instead. If it's a rainy day, I usually prefer to go shopping. But if I receive an invitation from a friend, I go to the bar. I can't go shopping and go to the bar at the same time.",":- dynamic extended_work_hours/0, new_neighbor/0, snowstorm/0, rainy_day/0, invitation_from_friend/0.
rule(r1, go_shopping, []) :- extended_work_hours.
rule(r2, go_bar, []) :- new_neighbor.
rule(r3, go_shopping, []) :- extended_work_hours, new_neighbor.
rule(r4, go_bar, []) :- extended_work_hours, new_neighbor, snowstorm.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- snowstorm.
rule(p3, prefer(r1, r2), []) :- rainy_day.
rule(p4, prefer(r2, r1), []) :- invitation_from_friend.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p3, p4), []).
rule(c3, prefer(c2, c1), []).
complement(go_shopping, go_bar).
complement(go_bar, go_shopping).",Success
14,"If I have a school reunion, I go for a cycling session. If I'm on a low budget, I go to a restaurant. But if it's both a school reunion and I'm on a low budget, I usually choose to go for a cycling session. However, if I also have a medical appointment, I go to the restaurant instead. If there is an expensive event, I tend to go for a cycling session. But if I have an urgent deadline, I prefer to go to a restaurant. I can't go for a cycling session and go to a restaurant at the same time.",":- dynamic school_reunion/0, low_budget/0, medical_appointment/0, expensive_event/0, urgent_deadline/0.
rule(r1, cycling_session, []) :- school_reunion.
rule(r2, restaurant, []) :- low_budget.
rule(r3, cycling_session, []) :- school_reunion, low_budget.
rule(r4, restaurant, []) :- medical_appointment.
rule(r5, cycling_session, []) :- expensive_event.
rule(r6, restaurant, []) :- urgent_deadline.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- low_budget.
rule(p3, prefer(r3, r1), []).
rule(p4, prefer(r4, r2), []).
rule(p5, prefer(r5, r1), []).
rule(p6, prefer(r6, r2), []).
rule(c1, prefer(p3, p1), []).
rule(c2, prefer(p4, p2), []).
rule(c3, prefer(p5, p1), []).
rule(c4, prefer(p6, p2), []).
complement(cycling_session, restaurant).
complement(restaurant, cycling_session).",Success
15,"If it's night time, I can either go for an evening walk or prepare a report. Generally, I choose to go for an evening walk. However, if I'm on a low budget, I prepare the report instead. But if I'm feeling sick, I go for the evening walk again. I can't go for an evening walk and prepare a report at the same time.",":- dynamic night_time/0, low_budget/0, feeling_sick/0.
rule(r1, go_evening_walk, []) :- night_time.
rule(r2, prepare_report, []) :- night_time.
rule(p1, prefer(r1, r2), []).
rule(p2, prefer(r2, r1), []) :- low_budget.
rule(c1, prefer(p2, p1), []).
rule(c2, prefer(p1, p2), []) :- feeling_sick.
rule(c3, prefer(c2, c1), []).
complement(go_evening_walk, prepare_report).
complement(prepare_report, go_evening_walk).",Success
